Publication Year,Author,Title,Publication Title,URL,image,geography_representation,node_representation,link_representation,composition,interactivity,directed_links,undirected_links,weighted_links,additional_link_attributes,additional_node_attributes,exact_point_locations,area_locations,colocated_nodes,dense_networks,networks_with_varying_density,dynamic_networks,uncertain_network_topology,uncertain_locations,uncertain_additional_attributes
2014,"Abel, Guy J.; Sander, Nikola",Quantifying Global International Migration Flows,Science,https://www.doi.org/10.1126/science.1248676,abel2014,abstract,explicit,explicit,integrated,not_required,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no
2007,"Alper, Basak; Sümengen, Selçuk; Balcisoy, Selim",Dynamic visualization of geographic networks using surface deformations with constraints,"Proc. of the Computer Graphics International Conference (CGI), Computer Graphics Society, Petrópolis, Brazil",https://research.sabanciuniv.edu/5075/,alper2007,distorted,explicit,abstract,integrated,required,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no
2017,"Andrienko, Gennady; Andrienko, Natalia; Fuchs, Georg; Wood, Jo",Revealing Patterns and Trends of Mass Mobility Through Spatial and Temporal Abstraction of Origin-Destination Movement Data,IEEE Transactions on Visualization and Computer Graphics,https://www.doi.org/10.1109/TVCG.2016.2616404,andrienko2017,mapped,explicit,abstract,superimposed,not_required,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no
2011,"Andrienko, N.; Andrienko, G.",Spatial Generalization and Aggregation of Massive Movement Data,IEEE Transactions on Visualization and Computer Graphics,https://www.doi.org/10.1109/TVCG.2010.44,andrienko2011,mapped,aggregated,aggregated,superimposed,not_required,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no
2011,"Bach, Benjamin; Pietriga, Emmanuel; Liccardi, Ilaria; Legostaev, Gennady",OntoTrix: a hybrid visualization for populated ontologies,Proceedings of the 20th international conference companion on World wide web,https://www.doi.org/10.1145/1963192.1963283,bach2011,abstract,explicit,explicit,integrated,required,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,no
2015,"Bach, Benjamin; Riche, Nathalie Henry; Fernandez, Roland; Giannisakis, Emmanoulis; Lee, Bongshin; Fekete, Jean-Daniel",NetworkCube: bringing dynamic network visualizations to domain scientists,Posters of the Conference on Information Visualization (InfoVis),https://hal.inria.fr/hal-01205822/,bach2015,mapped,explicit,explicit,superimposed,not_required,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
1995,"Becker, Richard A.; Eick, Stephen G.; Wilks, Allan R.",Visualizing network data,IEEE Transactions on visualization and computer graphics,https://www.doi.org/10.1109/2945.468391,becker1995,mapped,explicit,explicit,superimposed,not_required,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no
2008,"Böttger, Joachim; Brandes, Ulrik; Deussen, Oliver; Ziezold, Hendrik",Map Warping for the Annotation of Metro Maps,IEEE Computer Graphics and Applications,https://www.doi.org/10.1109/MCG.2008.99,böttger2008,distorted,explicit,explicit,superimposed,not_required,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no
2016,"Bouts, Q. W.; Dwyer, T.; Dykes, J.; Speckmann, B.; Goodwin, S.; Riche, N. H.; Carpendale, S.; Liebman, A.",Visual Encoding of Dissimilarity Data via Topology-Preserving Map Deformation,IEEE Transactions on Visualization and Computer Graphics,https://www.doi.org/10.1109/TVCG.2015.2500225,bouts2016,distorted,explicit,abstract,integrated,not_required,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
2015,"Bouts, Quirijn W.; Speckmann, Bettina",Clustered edge routing,2015 IEEE Pacific Visualization Symposium (PacificVis),https://www.doi.org/10.1109/PACIFICVIS.2015.7156356,bouts2015,mapped,explicit,aggregated,superimposed,not_required,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
