Publication Year,Author,Title,Publication Title,DOI,image,geography_representation,node_representation,link_representation,composition,interactivity
2014,"Abel, Guy J.; Sander, Nikola",Quantifying Global International Migration Flows,Science,10.1126/science.1248676,abel2014,abstract,explicit,explicit,integrated,none
2007,"Alper, Basak; Sümengen, Selçuk; Balcisoy, Selim",Dynamic visualization of geographic networks using surface deformations with constraints,"Proc. of the Computer Graphics International Conference (CGI), Computer Graphics Society, Petrópolis, Brazil",,alper2007,distorted,explicit,abstract,integrated,required
2017,"Andrienko, Gennady; Andrienko, Natalia; Fuchs, Georg; Wood, Jo",Revealing Patterns and Trends of Mass Mobility Through Spatial and Temporal Abstraction of Origin-Destination Movement Data,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2016.2616404,andrienko2017,mapped,explicit,abstract,superimposed,optional
2011,"Andrienko, N.; Andrienko, G.",Spatial Generalization and Aggregation of Massive Movement Data,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2010.44,andrienko2011,mapped,aggregated,aggregated,superimposed,optional
2011,"Bach, Benjamin; Pietriga, Emmanuel; Liccardi, Ilaria; Legostaev, Gennady",OntoTrix: a hybrid visualization for populated ontologies,Proceedings of the 20th international conference companion on World wide web,,bach2011,abstract,explicit,explicit,integrated,required
2015,"Bach, Benjamin; Riche, Nathalie Henry; Fernandez, Roland; Giannisakis, Emmanoulis; Lee, Bongshin; Fekete, Jean-Daniel",NetworkCube: bringing dynamic network visualizations to domain scientists,Posters of the Conference on Information Visualization (InfoVis),,bach2015,mapped,explicit,explicit,superimposed,optional
1995,"Becker, Richard A.; Eick, Stephen G.; Wilks, Allan R.",Visualizing network data,IEEE Transactions on visualization and computer graphics,10.1109/2945.468391,becker1995,mapped,explicit,explicit,superimposed,none
2016,"Bouts, Q. W.; Dwyer, T.; Dykes, J.; Speckmann, B.; Goodwin, S.; Riche, N. H.; Carpendale, S.; Liebman, A.",Visual Encoding of Dissimilarity Data via Topology-Preserving Map Deformation,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2015.2500225,bouts2016,distorted,explicit,abstract,integrated,none
2015,"Bouts, Quirijn W.; Speckmann, Bettina",Clustered edge routing,2015 IEEE Pacific Visualization Symposium (PacificVis),10.1109/PACIFICVIS.2015.7156356,bouts2015,mapped,explicit,aggregated,superimposed,none
2011,"Boyandin, Ilya; Bertini, Enrico; Bak, Peter; Lalanne, Denis",Flowstrates: An Approach for Visual Exploration of Temporal Origin-Destination Data,Computer Graphics Forum,10.1111/j.1467-8659.2011.01946.x,boyandin2011,mapped,explicit,explicit,juxtaposed,optional
2012,"Boyandin, Ilya; Bertini, Enrico; Lalanne, Denis",A Qualitative Study on the Exploration of Temporal Changes in Flow Maps with Animation and Small-Multiples,Computer Graphics Forum,10.1111/j.1467-8659.2012.03093.x,boyandin2012,mapped,explicit,explicit,superimposed,none
2000,"Brandes, Ulrik; Shubina, Galina; Tamassia, Roberto",Improving Angular Resolution in Visualizations of Geographic Networks,Data Visualization 2000,,brandes2000,mapped,explicit,explicit,superimposed,none
1998,"Brandes, Ulrik; Wagner, Dorothea",Using Graph Layout to Visualize Train Interconnection Data,Graph Drawing,10.1142/9789812794741_0009,brandes1998,mapped,explicit,explicit,superimposed,none
2016,"Brodkorb, Felix; Kuijper, Arjan; Andrienko, Gennady; Andrienko, Natalia; von Landesberger, Tatiana",Overview with details for exploring geo-located graphs on maps,Information Visualization,10.1177/1473871615597077,brodkorb2016,distorted,explicit,explicit,superimposed,optional
1993,"Brown, Marc H.; Meehan, James R.; Sarkar, Manojit",Browsing Graphs Using a Fisheye View (Abstract),Proceedings of the INTERACT '93 and CHI '93 Conference on Human Factors in Computing Systems,10.1145/169059.169474,brown1993,distorted,explicit,explicit,superimposed,interaction_technique
2011,"Buchin, K.; Speckmann, B.; Verbeek, K.",Flow Map Layout via Spiral Trees,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2011.202,buchin2011,mapped,explicit,aggregated,superimposed,none
2016,"Cornel, D.; Konev, A.; Sadransky, B.; Horváth, Z.; Brambilla, A.; Viola, I.; Waser, J.",Composite Flow Maps,Computer Graphics Forum,10.1111/cgf.12922,cornel2016,mapped,explicit,aggregated,superimposed,optional
1996,"Cox, Kenneth C.; Eick, Stephen G.; He, Taosong",3D Geographic Network Displays,SIGMOD Rec.,10.1145/245882.245901,cox1996,mapped,explicit,explicit,superimposed,required
2008,"Cui, W.; Zhou, H.; Qu, H.; Wong, P. C.; Li, X.",Geometry-Based Edge Clustering for Graph Visualization,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2008.135,cui2008,mapped,explicit,aggregated,superimposed,none
2014,"Debiasi, Alberto; Simões, Bruno; De Amicis, Raffaele",3DArcLens: A technique for the exploration of geographical networks,2014 IEEE Conference on Visual Analytics Science and Technology (VAST),10.1109/VAST.2014.7042512,debiasi2014a,mapped,explicit,explicit,superimposed,interaction_technique
2014,"Debiasi, Alberto; Simões, Bruno; De Amicis, Raffaele",Force directed flow map layout,2014 International Conference on Information Visualization Theory and Applications (IVAPP),,debiasi2014b,mapped,explicit,aggregated,superimposed,none
2009,"Di Giacomo, Emilio; Didimo, Walter; Liotta, Giuseppe; Palladino, Pietro",Visual Analysis of One-to-Many Matched Graphs,Graph Drawing,10.1007/978-3-642-00219-9_14,digiacomo2009,mapped,explicit,explicit,juxtaposed,required
2005,"Doantam Phan; Ling Xiao; Yeh, R.; Hanrahan, P.",Flow map layout,"IEEE Symposium on Information Visualization, 2005. INFOVIS 2005.",10.1109/INFVIS.2005.1532150,phan2005,mapped,explicit,aggregated,superimposed,none
2014,"Elzen, S. van den; Wijk, J. J. van",Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2014.2346441,elzen2014,mapped,aggregated,aggregated,juxtaposed,required
2011,"Gansner, Emden R.; Hu, Yifan; North, Stephen; Scheidegger, Carlos",Multilevel agglomerative edge bundling for visualizing large graphs,2011 IEEE Pacific Visualization Symposium,10.1109/PACIFICVIS.2011.5742389,gansner2011,mapped,explicit,aggregated,superimposed,none
2011,"Ghani, S.; Riche, N. Henry; Elmqvist, N.",Dynamic Insets for Context-Aware Graph Navigation,Computer Graphics Forum,10.1111/j.1467-8659.2011.01935.x,ghani2011,distorted,explicit,explicit,superimposed,interaction_technique
2019,"Graser, Anita; Schmidt, Johanna; Roth, Florian; Brändle, Norbert",Untangling origin-destination flows in geographic information systems,Information Visualization,10.1177/1473871617738122,graser2019,mapped,explicit,explicit,superimposed,none
2007,"Guo, D.",Visual analytics of spatial interaction patterns for pandemic decision support,International Journal of Geographical Information Science,10.1080/13658810701349037,guo2007,mapped,explicit,explicit,juxtaposed,required
2014,"Guo, D.; Zhu, X.",Origin-Destination Flow Data Smoothing and Mapping,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2014.2346271,guo2014,mapped,abstract,aggregated,superimposed,none
